state,district,latitude,longitude,year,epi_week,disease_type,cases,deaths,weekly_precipitation,weekly_mean_temperature,LAI,clean_state,clean_dist,centroid_lat,centroid_lon,zonal_mean_pop_density,total_population,area_sq_km,population_density,all_day_bing_tiles_visited_relative_change,all_day_ratio_single_tile_users
Andhra Pradesh,Anantapur,14.6546235,77.55625984,2010,24th week,Malaria,68,,0.2540483378,311.175,,ANDHRA PRADESH,ANANTAPUR,14.475092112716293,77.57084647774622,220.5049658571193,2935437.0,17513.39,167.611010775184,,
Andhra Pradesh,Anantapur,14.6546235,77.55625984,2011,25th week,Acute Diarrhoeal Disease,23,,0.02771473402,307.82,,ANDHRA PRADESH,ANANTAPUR,14.475092112716293,77.57084647774622,220.5049658571193,2935437.0,17513.39,167.611010775184,,
Andhra Pradesh,Anantapur,14.6546235,77.55625984,2011,25th week,Acute Diarrhoeal Disease,23,0.0,0.02771473402,307.82,,ANDHRA PRADESH,ANANTAPUR,14.475092112716293,77.57084647774622,220.5049658571193,2935437.0,17513.39,167.611010775184,,
Andhra Pradesh,Anantapur,14.6546235,77.55625984,2011,26th week,Acute Diarrhoeal Disease,82,0.0,0.02771473402,307.82,,ANDHRA PRADESH,ANANTAPUR,14.475092112716293,77.57084647774622,220.5049658571193,2935437.0,17513.39,167.611010775184,,
Andhra Pradesh,Anantapur,14.6546235,77.55625984,2011,35th week,Acute Diarrhoeal Disease,25,0.0,0.2521427967,,7.0,ANDHRA PRADESH,ANANTAPUR,14.475092112716293,77.57084647774622,220.5049658571193,2935437.0,17513.39,167.611010775184,,
Andhra Pradesh,Anantapur,14.6546235,77.55625984,2012,21st week,Acute Diarrhoeal Disease,25,,0.08289797767,312.8,3.0,ANDHRA PRADESH,ANANTAPUR,14.475092112716293,77.57084647774622,220.5049658571193,2935437.0,17513.39,167.611010775184,,
Andhra Pradesh,Anantapur,14.6546235,77.55625984,2012,51st week,Cholera,23,,9.79e-05,306.06,6.0,ANDHRA PRADESH,ANANTAPUR,14.475092112716293,77.57084647774622,220.5049658571193,2935437.0,17513.39,167.611010775184,,
Andhra Pradesh,Anantapur,14.6546235,77.55625984,2013,23rd week,Acute Diarrhoeal Disease,59,,0.1960967701,,2.0,ANDHRA PRADESH,ANANTAPUR,14.475092112716293,77.57084647774622,220.5049658571193,2935437.0,17513.39,167.611010775184,,
Andhra Pradesh,Anantapur,14.6546235,77.55625984,2013,32nd week,Acute Diarrhoeal Disease,34,2.0,0.03424359017,308.62,,ANDHRA PRADESH,ANANTAPUR,14.475092112716293,77.57084647774622,220.5049658571193,2935437.0,17513.39,167.611010775184,,
Andhra Pradesh,Anantapur,14.6546235,77.55625984,2014,26th week,Acute Diarrhoeal Disease,12,,0.00685651061,307.90500000000003,3.0,ANDHRA PRADESH,ANANTAPUR,14.475092112716293,77.57084647774622,220.5049658571193,2935437.0,17513.39,167.611010775184,,
